Feature,Importance
Cat_Kitchenware,0.01016551112396077
ReturnRate_RollMean_4,0.008133421094987735
ReturnRate_RollMean_12,0.005148940337899477
Cat_Miscellaneous,0.003187704016264704
ReturnRate_Lag_8,0.0009648649723649156
ReturnRate_Lag_2,0.0001485504286649294
Cat_Bags & Storage,0.0
Cat_Home Decor,0.0
Cat_Holiday,0.0
Cat_Gifts & Stationery,0.0
Cat_Apparel & Accessories,0.0
ReturnRate_RollStd_4,-0.0002333040081671372
ReturnRate_Lag_1,-0.00034086763429735717
IsReturn,-0.0004333196045365191
Week_Sin,-0.0012286061365013067
ReturnRate_RollStd_8,-0.001585013115063997
ReturnRate_Lag_4,-0.0016920777714242293
Week_Cos,-0.0021105708456525406
ReturnRate_RollStd_12,-0.0037007162212078404
ReturnRate_Lag_12,-0.004466777380930488
Quantity,-0.010068212018813156
ReturnRate_RollMean_8,-0.013068445964353885
